unique_id,variable,response
245983,age,22
419185,age,21
662671,sex,m
516995,sex,m
456785,sex,m
202770,age,NA
425260,age,26
402000,age,19
303085,age,29
87572,sex,NA
465184,sex,f
582036,sex,m
412187,age,21
194503,sex,NA
253710,sex,f
292253,sex,f
604601,age,29
312573,sex,m
181621,sex,NA
255904,sex,f
244644,age,21
329969,age,36
476640,age,19
349584,sex,f
375920,age,23
400681,sex,NA
545413,age,37
536508,sex,m
307898,age,36
394446,sex,f
383758,age,22
570118,sex,f
120716,age,NA
543480,sex,f
NA,age,NA
660459,sex,NA
129309,sex,NA
526095,age,22
170227,age,NA
389886,sex,f
647825,age,35
505354,sex,m
508889,age,26
564424,sex,m
659011,sex,m
173940,sex,NA
355392,sex,f
345102,age,68
417047,sex,m
383915,age,31
130058,sex,NA
661089,age,25
666099,sex,f
188154,age,NA
370510,sex,f
158398,age,NA
351973,sex,f
NA,age,NA
453517,sex,m
521227,age,20
NA,age,NA
122707,age,NA
198429,sex,f
226674,age,30
141330,age,NA
553507,age,30
584073,age,55
178407,sex,NA
361072,sex,m
616690,sex,m
322363,sex,f
365546,sex,f
479756,age,27
247048,sex,f
674233,age,47
453761,sex,m
213234,sex,m
263705,age,22
411250,sex,f
316342,age,28
346120,sex,NA
227753,age,24
493292,age,18
524169,sex,f
398333,age,41
433582,sex,f
372747,age,18
92877,age,NA
NA,age,NA
227915,age,26
200816,age,NA
370420,age,21
323863,age,21
411213,age,20
516124,age,36
594480,age,42
424230,sex,NA
307883,sex,NA
307952,age,18
369621,sex,f
356967,sex,NA
404645,sex,m
370793,age,18
496841,sex,f
291535,age,20
115403,sex,NA
646796,sex,m
86673,age,NA
254003,age,19
304977,age,18
NA,age,NA
414991,age,26
207272,age,NA
119739,sex,NA
551121,sex,f
553270,age,46
166720,sex,NA
447947,age,36
603590,sex,f
111168,age,NA
496571,sex,m
503533,age,49
427921,age,21
496000,sex,NA
142622,sex,NA
425871,age,21
179087,age,NA
564105,sex,NA
550946,age,18
628321,sex,m
368836,age,23
655588,age,38
457155,age,NA
383205,age,19
111669,age,NA
431214,age,20
247689,sex,m
164922,sex,NA
255285,age,18
613090,age,19
217528,age,20
152537,sex,NA
301904,age,19
221694,sex,f
225083,sex,f
516746,sex,f
273355,age,29
148140,sex,NA
91904,age,NA
644824,age,24
279953,sex,f
NA,age,NA
NA,age,NA
374596,sex,f
355697,sex,m
318213,age,43
229369,sex,f
211948,sex,m
98884,age,NA
302030,sex,m
175887,sex,NA
310409,age,19
128567,sex,NA
269928,age,55
243333,age,40
271211,age,24
318047,sex,m
289657,age,23
388362,age,22
661792,sex,m
265659,sex,f
630624,age,23
522581,sex,f
246543,age,26
218612,age,23
136225,sex,NA
657141,sex,f
656222,sex,f
568896,sex,f
551467,age,38
477983,age,37
257050,sex,f
542237,age,33
500073,age,19
377540,sex,f
605688,age,20
292622,sex,m
454525,age,19
111627,age,NA
260339,age,30
599510,sex,f
415203,sex,f
546986,age,50
670408,age,22
NA,age,NA
360005,sex,f
521892,sex,f
667527,sex,f
226986,sex,m
116647,sex,NA
165928,sex,NA
511869,sex,f
604033,age,18
133777,age,NA
463666,sex,f
338165,age,40
119935,sex,NA
546514,age,NA
489029,age,NA
346381,sex,m
312546,age,36
458540,age,37
336189,sex,f
89009,sex,NA
303464,age,19
618414,sex,f
218168,sex,f
539644,age,15
599532,age,24
555723,age,50
598208,age,20
NA,age,NA
609550,age,19
262361,age,19
177472,age,NA
447893,sex,m
110940,sex,NA
418921,age,29
516197,age,18
147379,sex,NA
166776,sex,NA
423870,sex,NA
189783,age,NA
493609,age,20
180141,sex,NA
512265,sex,f
312535,sex,f
668885,age,36
NA,age,NA
562442,sex,f
223663,sex,f
326857,sex,f
313625,age,22
305806,sex,f
127786,age,NA
NA,sex,f
186920,age,33
598417,sex,f
363998,sex,f
310287,age,20
191722,sex,NA
661886,sex,f
88988,sex,NA
595661,age,47
322063,sex,m
162092,age,NA
NA,age,NA
285435,sex,m
235357,age,28
130239,age,NA
251518,sex,f
608757,age,19
226021,age,31
272146,age,29
598888,age,21
661875,sex,m
575981,sex,m
594949,age,37
107954,age,NA
458022,age,45
480842,age,36
89201,sex,NA
162541,sex,NA
316435,age,19
303042,sex,f
228342,age,19
305442,sex,f
249123,sex,f
234722,age,21
230392,sex,m
292449,age,20
186157,sex,NA
191838,sex,NA
NA,sex,m
444964,age,15
171637,sex,NA
352678,sex,f
504917,sex,f
133971,sex,NA
313742,age,20
435678,sex,m
204439,sex,NA
325784,age,80
648912,sex,m
186080,sex,NA
673945,age,19
352607,sex,f
485143,age,32
235903,age,34
237501,age,56
454704,age,NA
291491,age,56
516242,sex,f
503321,sex,f
129112,age,NA
NA,age,NA
373772,sex,m
342272,sex,m
510510,age,20
424559,age,27
341648,age,55
144952,sex,f
564250,sex,m
657726,age,NA
656744,age,45
338781,age,40
274571,age,22
405024,age,62
459472,age,NA
561147,sex,f
168469,age,NA
173957,sex,NA
336696,sex,f
316524,sex,NA
390441,age,18
562214,sex,f
150045,age,NA
275384,age,20
506369,sex,m
601049,age,32
149953,sex,NA
133934,sex,NA
113265,age,NA
563868,age,39
573305,age,20
143502,age,NA
664690,sex,f
522816,age,NA
601797,sex,m
207582,sex,NA
651316,age,29
413919,sex,f
436351,sex,f
180308,age,NA
142506,sex,NA
550816,sex,f
208378,sex,NA
435493,sex,m
259143,age,24
297860,sex,f
260836,age,31
643761,sex,m
606548,sex,f
593852,age,18
512503,sex,f
654838,sex,m
373597,age,60
648597,sex,f
671100,sex,m
596181,age,68
425553,sex,m
220093,sex,f
513020,sex,m
444262,age,21
425275,sex,m
614003,sex,f
371576,sex,f
408609,age,31
389623,age,18
602006,age,20
613048,sex,f
295119,age,40
290101,age,20
547953,sex,f
366972,age,20
